time,flow
09:15,198
09:30,262
09:45,250
10:00,237
10:15,255
10:30,264
10:45,300
11:00,294
11:15,328
11:30,296
11:45,361
12:00,317
12:15,376
12:30,346
12:45,338
13:00,280
13:15,347
13:30,295
13:45,321
14:00,302
14:15,293
14:30,276
14:45,270
15:00,297
15:15,297
15:30,254
15:45,306
16:00,246
16:15,263
16:30,275
16:45,246
17:00,289
17:15,243
17:30,279
17:45,235
18:00,199
18:15,232
18:30,173
18:45,159
19:00,172
19:15,142
19:30,163
19:45,139
20:00,128
20:15,111
20:30,119
20:45,132
21:00,109
21:15,116
21:30,112
21:45,92
