Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Time,Time_Taken
140,-37.86735,145.09195,-37.81457,145.02161,12:0,19 mins
141,-37.86735,145.09195,-37.81457,145.02161,18:0,19 mins
142,-37.86735,145.09195,-37.82284,145.05684,7:0,14 mins
143,-37.86735,145.09195,-37.82284,145.05684,12:0,15 mins
144,-37.86735,145.09195,-37.82284,145.05684,18:0,16 mins
145,-37.86735,145.09195,-37.81521,145.02706,7:0,17 mins
146,-37.86735,145.09195,-37.81521,145.02706,12:0,18 mins
147,-37.86735,145.09195,-37.81521,145.02706,18:0,19 mins
148,-37.86735,145.09195,-37.80508,145.08246,7:0,13 mins
149,-37.86735,145.09195,-37.80508,145.08246,12:0,15 mins
150,-37.86735,145.09195,-37.80508,145.08246,18:0,16 mins
151,-37.86735,145.09195,-37.78127,145.07688,7:0,18 mins
152,-37.86735,145.09195,-37.78127,145.07688,12:0,20 mins
153,-37.86735,145.09195,-37.78127,145.07688,18:0,21 mins
154,-37.86735,145.09195,-37.8144,145.08045,7:0,12 mins
155,-37.86735,145.09195,-37.8144,145.08045,12:0,13 mins
156,-37.86735,145.09195,-37.8144,145.08045,18:0,14 mins
157,-37.86735,145.09195,-37.83284,145.05505,7:0,11 mins
158,-37.86735,145.09195,-37.83284,145.05505,12:0,13 mins
159,-37.86735,145.09195,-37.83284,145.05505,18:0,13 mins
160,-37.86735,145.09195,-37.78127,145.07688,7:0,18 mins
161,-37.86735,145.09195,-37.78127,145.07688,12:0,20 mins
162,-37.86735,145.09195,-37.78127,145.07688,18:0,21 mins
163,-37.86735,145.09195,-37.81682,145.09802,7:0,10 mins
164,-37.86735,145.09195,-37.81682,145.09802,12:0,11 mins
165,-37.86735,145.09195,-37.81682,145.09802,18:0,12 mins
166,-37.86735,145.09195,-37.79418,145.06955,7:0,18 mins
167,-37.86735,145.09195,-37.79418,145.06955,12:0,20 mins
168,-37.86735,145.09195,-37.79418,145.06955,18:0,20 mins
169,-37.86735,145.09195,-37.81476,145.07996,7:0,12 mins
170,-37.86735,145.09195,-37.81476,145.07996,12:0,14 mins
171,-37.86735,145.09195,-37.81476,145.07996,18:0,15 mins
172,-37.86735,145.09195,-37.83284,145.05505,7:0,11 mins
173,-37.86735,145.09195,-37.83284,145.05505,12:0,13 mins
174,-37.86735,145.09195,-37.83284,145.05505,18:0,13 mins
175,-37.86735,145.09195,-37.81285,145.00849,7:0,18 mins
176,-37.86735,145.09195,-37.81285,145.00849,12:0,20 mins
177,-37.86735,145.09195,-37.81285,145.00849,18:0,20 mins
178,-37.86735,145.09195,-37.7948,145.03015,7:0,22 mins
179,-37.86735,145.09195,-37.7948,145.03015,12:0,24 mins
180,-37.86735,145.09195,-37.7948,145.03015,18:0,25 mins
181,-37.86735,145.09195,-37.82542,145.04346,7:0,13 mins
182,-37.86735,145.09195,-37.82542,145.04346,12:0,15 mins
183,-37.86735,145.09195,-37.82542,145.04346,18:0,15 mins
184,-37.86735,145.09195,-37.81682,145.09802,7:0,10 mins
185,-37.86735,145.09195,-37.81682,145.09802,12:0,11 mins
186,-37.86735,145.09195,-37.81682,145.09802,18:0,12 mins
187,-37.86735,145.09195,-37.83199,145.04636,7:0,12 mins
188,-37.86735,145.09195,-37.83199,145.04636,12:0,14 mins
189,-37.86735,145.09195,-37.83199,145.04636,18:0,14 mins
190,-37.86735,145.09195,-37.82379,145.06466,7:0,12 mins
191,-37.86735,145.09195,-37.82379,145.06466,12:0,14 mins
192,-37.86735,145.09195,-37.82379,145.06466,18:0,14 mins
193,-37.86735,145.09195,-37.81293,145.00865,7:0,17 mins
194,-37.86735,145.09195,-37.81293,145.00865,12:0,20 mins
195,-37.86735,145.09195,-37.81293,145.00865,18:0,20 mins
196,-37.86735,145.09195,-37.80063,145.04864,7:0,19 mins
197,-37.86735,145.09195,-37.80063,145.04864,12:0,21 mins
198,-37.86735,145.09195,-37.80063,145.04864,18:0,22 mins
199,-37.86735,145.09195,-37.82542,145.04346,7:0,13 mins
200,-37.86735,145.09195,-37.82542,145.04346,12:0,15 mins
