Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Day,Time,Time_Taken
145,-37.86703,145.09159,-37.78267,145.07729,Monday,7:0,20 mins
146,-37.86703,145.09159,-37.78267,145.07729,Monday,12:0,21 mins
147,-37.86703,145.09159,-37.78267,145.07729,Monday,18:0,23 mins
148,-37.86703,145.09159,-37.78267,145.07729,Friday,7:0,20 mins
149,-37.86703,145.09159,-37.78267,145.07729,Friday,12:0,22 mins
150,-37.86703,145.09159,-37.78267,145.07729,Friday,18:0,25 mins
151,-37.86703,145.09159,-37.78267,145.07729,Saturday,7:0,17 mins
152,-37.86703,145.09159,-37.78267,145.07729,Saturday,12:0,23 mins
153,-37.86703,145.09159,-37.78267,145.07729,Saturday,18:0,22 mins
154,-37.86703,145.09159,-37.78127,145.07688,Monday,7:0,19 mins
155,-37.86703,145.09159,-37.78127,145.07688,Monday,12:0,20 mins
156,-37.86703,145.09159,-37.78127,145.07688,Monday,18:0,22 mins
157,-37.86703,145.09159,-37.78127,145.07688,Friday,7:0,19 mins
158,-37.86703,145.09159,-37.78127,145.07688,Friday,12:0,21 mins
159,-37.86703,145.09159,-37.78127,145.07688,Friday,18:0,24 mins
160,-37.86703,145.09159,-37.78127,145.07688,Saturday,7:0,17 mins
161,-37.86703,145.09159,-37.78127,145.07688,Saturday,12:0,23 mins
162,-37.86703,145.09159,-37.78127,145.07688,Saturday,18:0,21 mins
163,-37.86703,145.09159,-37.8612671,145.058038,Monday,7:0,6 mins
164,-37.86703,145.09159,-37.8612671,145.058038,Monday,12:0,8 mins
165,-37.86703,145.09159,-37.8612671,145.058038,Monday,18:0,8 mins
166,-37.86703,145.09159,-37.8612671,145.058038,Friday,7:0,7 mins
167,-37.86703,145.09159,-37.8612671,145.058038,Friday,12:0,8 mins
168,-37.86703,145.09159,-37.8612671,145.058038,Friday,18:0,9 mins
169,-37.86703,145.09159,-37.8612671,145.058038,Saturday,7:0,5 mins
170,-37.86703,145.09159,-37.8612671,145.058038,Saturday,12:0,10 mins
171,-37.86703,145.09159,-37.8612671,145.058038,Saturday,18:0,7 mins
172,-37.86703,145.09159,-37.86152,145.05851,Monday,7:0,7 mins
173,-37.86703,145.09159,-37.86152,145.05851,Monday,12:0,8 mins
174,-37.86703,145.09159,-37.86152,145.05851,Monday,18:0,8 mins
